SMILES,P(Act)
COC(=O)C1=C(Nc2ccc(F)cc2)C[C@@H](c2ccccc2)N(c2ccc(F)cc2)[C@@H]1c1ccccc1,2.121043679
C[N+]1(C)CCO[C@@](O)(c2ccc([N+](=O)[O-])cc2)C1,2.291
COC(=O)C1=C(Nc2ccc(C)cc2)C[C@@H](c2ccc(C)cc2)N(c2ccc(C)cc2)[C@@H]1c1ccc(C)cc1,2.469366453
O=C(/C=N/O)NCC1CCN(Cc2ccccc2)CC1,2.497846107
COc1cc2c(cc1OC)CN(CCCNC(=O)/C(=N/O)C(C)=O)CC2,2.573326112
C[N+](C)(C)CCCl,2.622000001
COc1cc2c(cc1OC)C(c1ccccc1)N(CCCNC(=O)/C(=N/O)C(C)=O)CC2,2.715343717
COC(=O)C1=C(Nc2ccccc2)C[C@@H](c2ccc3c(c2)OCO3)N(c2ccccc2)[C@@H]1c1ccc2c(c1)OCO2,2.786414448
N#Cc1ccc(CN2CCC(COc3ccc(C(=O)/C=N/O)cn3)CC2)cc1,2.793713956
CCOC(=O)C1=C(Nc2ccccc2)C[C@@H](c2ccccc2)N(c2ccccc2)[C@@H]1c1ccccc1,2.830773724
CCNC(=O)N1c2ccccc2Sc2ccccc21,2.838631998
c1cc[n+](CCCCC[n+]2ccccc2)cc1,2.896196279
CCOCC[N+](C)(C)C,2.935999999
COC(=O)C1=C(Nc2ccc(Cl)cc2)C[C@@H](c2ccc(C)cc2)N(c2ccc(Cl)cc2)[C@@H]1c1ccc(C)cc1,2.968157896
CN(CCCCCCCOc1ccc2c(=O)c3ccccc3oc2c1)Cc1ccc(Cl)cc1,2.978810701
CN(CCCCCCCCCCCCOc1ccc2c(=O)c3ccccc3oc2c1)Cc1ccccc1,3.041914151
C=CCC[N+](C)(C)C,3.072000002
CCCCCC[N+](C)(C)C,3.088000001
CC(C)NCC(O)c1cc(OC(=O)N(C)C)cc(OC(=O)N(C)C)c1,3.148741651
O=C(/C=N/O)Nc1ccc[n+](Cc2ccc(C[n+]3cccc(NC(=O)/C=N/O)c3)cc2)c1,3.149555952
C[n+]1ccccc1C=NO,3.155729976
NC(=O)c1cc[n+](CC[n+]2cccc(NC(=O)/C=N\O)c2)cc1,3.167638006
C[N+](C)(C)c1cccc([N+](=O)[O-])c1,3.201999999
O=C(C[n+]1ccc(/C=N/O)cc1)Nc1nccs1,3.209662048
O=C(/C=N\O)Nc1ccc[n+](CCCCC[n+]2cccc(NC(=O)/C=N\O)c2)c1,3.212317594
COc1cccc([N+](C)(C)C)c1,3.223999998
C[N+](C)(C)CCCCBr,3.223999998
CNC(=O)Oc1cccc(CN(C)CCCCCCCOc2ccc3c(c2)OCC3=O)c1,3.269427657
NC(=O)c1cc[n+](CCCC[n+]2cccc(NC(=O)/C=N\O)c2)cc1,3.270956765
C[N+](C)(C)CCCCCBr,3.272
CCN(CC)CCS/C(=N\O)C(=O)c1ccc(Cl)cc1,3.283996656
COC(=O)C1=C(Nc2ccccc2)C[C@@H](c2cccc([N+](=O)[O-])c2)N(c2ccccc2)[C@@H]1c1cccc([N+](=O)[O-])c1,3.292429824
CN(C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(-c3nnc(-c4cccc(O)c4)[nH]3)ccc21,3.301029996
O=C(/C=N\O)Nc1ccc[n+](CCCCCC[n+]2cccc(NC(=O)/C=N\O)c2)c1,3.309434779
COc1ccc(C(C#N)N2CCCCC2)cc1O,3.320572103
COc1ccc(-c2csc(NC(=O)C[n+]3ccc(/C=N/O)cc3)n2)cc1,3.321504383
COc1cc(C(C#N)N2CCCCC2)ccc1O,3.348721986
COC(=O)C1=C(Nc2ccc(Br)cc2)C[C@@H](c2ccc(Cl)cc2)N(c2ccc(Br)cc2)[C@@H]1c1ccc(Cl)cc1,3.356113729
OCc1cc(-c2ccccc2)nnc1NCCN1CCOCC1,3.356547324
Cc1cccc(C2N(C)Cc3cc(O)ccc3N2C)c1,3.359518563
CN(C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(-c3nnc(-c4cccc(Cl)c4)[nH]3)ccc21,3.384512882
COc1cc(C(C#N)N2CCOCC2)ccc1O,3.388064375
O/N=C/c1cc[n+](CCC[n+]2ccc(/C=N/O)cc2)cc1,3.395085779
O=C(/C=N\O)Nc1ccc[n+](CCCC[n+]2cccc(NC(=O)/C=N\O)c2)c1,3.398504959
CC(=O)/C(C)=N/O,3.406049705
Nc1c2c(nc3ccccc13)-c1ccccc1NCCC2,3.407712184
COc1cc(C(C#N)N2CCOCC2)cc(OC)c1OC,3.410050399
NC(=O)c1cc[n+](CCC[n+]2ccc(/C=N/O)cc2)cc1,3.425390059
COc1ccc(C(=O)c2ccc(CN3CCOCC3)cc2)cc1OC,3.462180905
COc1cc(C(C#N)N2CCN(C)CC2)ccc1O,3.468265691
NC(=O)c1cc[n+](COC[n+]2ccccc2/C=N/O)cc1,3.503070352
CN(C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(-c3nnc(-c4ccccc4I)[nH]3)ccc21,3.508204229
O=C(/C=N/O)c1ccc(NCC2CCN(Cc3ccccc3)CC2)nc1,3.544241797
CCC1OCc2c[n+](C)c(C)c(OC(=O)N(C)C)c2CO1,3.552841969
CCOC(=O)C1=C(Nc2ccc(F)cc2)C[C@@H](c2ccc(Cl)cc2)N(c2ccc(F)cc2)[C@@H]1c1ccc(Cl)cc1,3.560233592
CCN(CC)CC/N=C(\NO)c1nc(-c2ccccc2)no1,3.585026652
COc1cccc([N+](C)(C)C)c1C,3.621999997
CN1Cc2cc(O)ccc2N(C)C1c1ccc(Cl)cc1,3.627824714
CN1Cc2cc(O)ccc2N(C)C1c1cccs1,3.646276062
CN(C)CCOC(=O)Nc1ccnc(Cl)c1,3.682563503
C#CCNC1CCc2ccc(OC(=O)N(C)CC)cc2C1,3.690369833
COC[n+]1c(/C=N/O)n(C)c2ccccc21,3.70333481
COc1cc2c(cc1OC)C(c1ccccc1)N(CCCCc1ccnc(/C=N/O)c1O)CC2,3.711415455
COc1cc2nc(Cl)nc(NCCCNC(=O)CCCCC3CCSS3)c2cc1OC,3.716698771
Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)O)O2,3.729554092
C/C=C(\C)C(=O)N[C@H]1[C@@H](O)C[C@]2(C)[C@H]3CC[C@@]4(C)[C@@H](CC[C@@H]4[C@H](C)N(C)C)[C@@H]3CC[C@H]2[C@H]1OC(C)=O,3.73999999
O=C(/C=N/O)c1cccnc1OCC1CCN(Cc2ccccc2)CC1,3.744486287
CC(C)(O)C(=O)Cc1cc2ccc(=O)oc2cc1O,3.744727495
CC#CC(C)(C)OC[n+]1ccn(C)c1/C=N/O,3.756961951
CCCCN(CCCC)CCCCCCOc1ccc(C(=O)/C=C/c2ccccc2)cc1,3.788906169
CCCCN1CCCN=C1/C=N/O,3.804100348
CCCCN(CCCC)CCCOc1ccc(C(=O)/C=C/c2ccccc2)cc1,3.818642408
