SMILES,P(Act)
CNC(=O)c1cnn(-c2nc(N)c3ncn([C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O)c3n2)c1,3.673907644
COc1cc(-c2nc3c([nH]2)c(=O)n(C)c(=O)n3C)ccc1OCCN1CCOCC1,4.0
CCn1c(=O)[nH]c2[nH]cnc2c1=O,4.016824928
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],4.017125999
Cc1cc2c(c(C)c1O)c1ccncc1n2C,4.093664958
Cn1nc2c(=O)n(C)c(=O)n(C)c2n1,4.277366077
Cc1cc2c(c(C)c1O)c1ncccc1n2C,4.355561411
O=C1[C@@H]2Cc3ccccc3CN2C(=O)N1Cc1ccccc1,4.356547324
CCCCn1c(=O)[nH]c2[nH]cnc2c1=O,4.36251027
CC(=O)c1snc(Nc2cc(Cl)ccc2F)c1N,4.387216143
O=C(O)c1cnc(NC2CCCC2)n2nc(-c3ccco3)nc12,4.428291168
Cn1cc2c(nc(NC(=O)Nc3ccccc3)n3nc(-c4ccc(C(F)(F)F)cc4)nc23)n1,4.443697499
N=C1N(CCCCc2ccccc2)C[C@@H]2Cc3ccccc3CN12,4.455931956
Cn1cc2c(Cl)nc(NC(=O)Cc3ccccc3)nc2n1,4.524328812
CN(CCOc1ccc(C[C@H](Nc2ccccc2C(=O)c2ccccc2)C(=O)O)cc1)c1ccccn1,4.536338398
CCCCCc1ccc(C#Cc2nc(NOC)c3ncn([C@@H]4O[C@H](C(=O)NCC)[C@@H](O)[C@H]4O)c3n2)cc1,4.567030709
CCCCCNc1ncc(C(=O)O)c2nc(-c3ccco3)nn12,4.57024772
CCOC(=O)c1c(NC(=O)c2sc(Nc3ccc(C)cc3)nc2N(C)C)sc(C(=O)OC)c1C,4.575118363
C[C@@]1(O)[C@H](O)[C@@H](CCl)O[C@H]1n1cnc2c(NC3CC4CCC3C4)ncnc21,4.619788758
CC(C)(C)Cn1cc2c(Cl)nc(NC(=O)Cc3ccccc3)nc2n1,4.627087997
CCCn1cnc2c(NCc3ccccc3)ncnc21,4.645891561
O[C@@H]1[C@@H](CSc2ccccc2F)O[C@@H](n2cnc3c(NC4CCOC4)ncnc32)[C@@H]1O,4.723538196
CNC(=O)[C@H]1O[C@@H](n2cnc3c(NOC)nc(C#Cc4ccc(F)cc4)nc32)[C@H](O)[C@@H]1O,4.728158393
C[C@@]1(O)[C@H](O)[C@@H](CCl)O[C@H]1n1cnc2c(NC3CCCC3)nc(Cl)nc21,4.790484985
CNC(=S)OC[C@H]1O[C@@H](n2cnc3c(N[C@@H]4CCOC4)nc(Cl)nc32)[C@](C)(O)[C@@H]1O,4.798602876
CCn1c(=O)c2nc[nH]c2n(C)c1=O,4.818156412
Nc1ncnc2c1nc(Br)n2C1CCCCC1,4.823908741
CC(=O)Oc1cccc2cc(-c3ccsc3)c(=O)oc12,4.832682665
CNC(=O)[C@H]1O[C@@H](n2cnc3c(NOC)nc(C#Cc4ccc(C)cc4)nc32)[C@H](O)[C@@H]1O,4.832682665
O=c1oc2c(O)c(O)ccc2cc1-c1ccsc1,4.832682665
Nc1nc(-c2sc(NC(=O)c3ccco3)nc2-c2ccccc2)nc2sc3c(c12)CCCC3,4.841637508
CCCC[C@H](NC(=O)[C@H]1CC[C@H]2c3[nH]c4ccccc4c3CCN2C1)C(=O)N[C@@H](Cc1ccc(F)cc1)C(=O)N1C[C@@H](N)C[C@H]1C(N)=O,4.853871964
Clc1ccc(Nc2nc3c(N4CCCCC4)ncnc3s2)cc1,4.879426069
CNC(=O)[C@H]1O[C@@H](n2cnc3c(NC)nc(C#Cc4ccc(F)cc4)nc32)[C@H](O)[C@@H]1O,4.896196279
COc1cc(OCC(=O)N2CCc3ccccc3C2)ccc1-c1cc2c([nH]1)c(=O)n(C)c(=O)n2C,4.920000157
CCOC(=O)c1nc(NC(=O)c2ccc(C)cc2)nc2nn(C)cc12,4.928117993
C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(NC3CC4CCC3C4)nc(Cl)nc21,4.928117993
CCOC(=O)c1nc(NC(=O)c2ccc(F)cc2)nc2nn(C)cc12,4.93930216
COc1ccccc1CN1CCCn2c1nc1c2c(=O)n(C)c(=O)n1C,4.946921557
Nc1ncnc2c1ncn2C1CCCCCC1,4.958607315
CCn1c(=O)c2c(nc(/C=C/c3ccc(OCCCC(=O)NCCCCCC(=O)OC)c(OC)c3)n2C)n(CC)c1=O,4.960000078
CNC(=O)[C@H]1O[C@@H](n2cnc3c(NOC)nc(C#Cc4ccc(C(C)=O)cc4)nc32)[C@H](O)[C@@H]1O,4.982966661
CC(C)n1cc(-c2nc(N)c3ncn([C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O)c3n2)cn1,5.0
CCCn1c(=O)c2c(nnn2C2CCCC2)n(CCC)c1=O,5.0
OC[C@H]1O[C@@H](n2cnc3c(N[C@@H]4CCSC4)ncnc32)[C@H](O)[C@@H]1O,5.013228266
Nc1ncnc2c1ncn2CCc1ccccc1,5.017728767
OC(c1ccccc1)c1cc(C(F)(F)F)nc2ccccc12,5.021180613
CC(C)n1cc2c(C(N)=O)nc(N)nc2n1,5.036212173
CCOC(=O)CCCOc1ccc(CCNc2nc(N)c3nc(-n4nccn4)n(C)c3n2)cc1,5.040002543
c1ccc(Nc2nc3c(N4CCNCC4)ncnc3s2)cc1,5.041436117
N=C(N)NC(=O)c1nc(Cl)c(N)nc1N,5.04769199
CCOC(=O)c1nc(NC(=O)Cc2ccccc2)nc2nn(C(C)C)cc12,5.055517328
CNC(=S)OC[C@H]1O[C@@H](n2cnc3c(NC4CCCC4)nc(Cl)nc32)[C@](C)(O)[C@@H]1O,5.057495894
O=c1[nH]c2ccccc2c2cn(-c3ccccc3)nc12,5.065501549
CCN1CCN(c2ncnc3sc(Nc4ccccc4)nc23)CC1,5.076238039
Cn1cc2c(nc(NC(=O)Cc3ccccc3)n3nc(-c4ccc(Cl)cc4)nc23)n1,5.079876674
CCOC(=O)c1cnc(N2CCCCC2)n2nc(-c3ccco3)nc12,5.087246696
COc1cccc(CCNc2nc(N)c(C(=O)N=C(N)N)nc2Cl)c1,5.091514981
CCCCn1c(=O)c2nc[nH]c2n(C)c1=O,5.119186408
CCCn1c(=O)n(CC)c(=O)c2c1ncn2C,5.119186408
COc1cc(F)c(F)cc1CNc1nc(Cl)nc2c1ncn2[C@H]1[C@H](O)[C@H](O)[C@@H]2C[C@@H]21,5.124360063
CC(C)OC(=O)c1cnc2c(cnn2CC(Cl)c2ccccc2)c1NC1CC1,5.124765054
O=C(c1ccccc1)c1sc(N(CCc2cccs2)Cc2ccccc2)nc1-c1ccco1,5.146301788
CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,5.152643308
Cc1ccc2c(N(C)C)cc(-c3ccccc3)nc2n1,5.15490196
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,5.158422454
CN(C)c1nc(-c2ccco2)c(C(=O)c2ccccc2)s1,5.166343003
CCNC(=O)[C@H]1OC(n2cnc3c(NCCNc4ccc([N+](=O)[O-])c5nonc45)ncnc32)[C@H](O)[C@@H]1O,5.170696227
CNC(=O)[C@@]12C[C@@H]1[C@@H](n1cnc3c(NCc4cccc(Cl)c4)nc(C#CCCCCc4cn(-c5cccc([N+](=O)[O-])c5)nn4)nc31)[C@H](O)[C@@H]2O,5.171984936
