SMILES,P(Act)
CC(C)(CCC(C(N)=O)(c1ccccc1)c1ccccc1)N1CC(Oc2ccccc2)C1,10.25181197
CCOC(=O)N1CCC(N2CCC(C3(c4ccc(S(=O)(=O)c5ccc6c(c5)OCO6)cc4)OCCO3)CC2)CC1,10.13667714
C[C@@H](c1ccc(S(=O)(=O)c2ccc3c(c2)OCO3)cc1)N1CCN(C2CCN(C(=O)c3cccc4c3OCO4)CC2)C[C@H]1C,10.0
C[C@@H](c1ccc(S(=O)(=O)c2ccc3c(c2)OCO3)cc1)N1CCN(C2CCN(C(=O)c3ccccc3Oc3ccccc3)CC2)C[C@H]1C,10.0
CCOC(=O)N1CCC(N2CCC(C(=O)c3ccc(S(=O)(=O)c4ccc5c(c4)OCO5)cc3)CC2)CC1,9.886056648
O=C(O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)[C@@](O)(c1ccccc1)c1cccs1,9.769551079
O=C(O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)C(O)(c1ccsc1)c1ccsc1,9.744727495
CC(C)OC(=O)c1ccc(NC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@H]2CCC[N+](C)(Cc3ccc(O)cc3)C2)s1,9.7000571
CC(c1ccc(S(=O)(=O)c2ccccc2)cc1)N1CCN(C2CCCCC2)CC1,9.698970004
C[C@@H](c1ccc(S(=O)(=O)c2ccc3c(c2)OCO3)cc1)N1CCN(C2CCN(C(=O)c3ccccc3COC(=O)c3ccccc3)CC2)C[C@H]1C,9.698970004
C=C(c1ccc(S(=O)(=O)c2ccc(OC)cc2)cc1)C1CCN(C2CCN(C(=O)C3CC3)CC2)CC1,9.585026652
C=C(c1ccc(S(=O)(=O)c2ccc(OC)cc2)cc1)C1CCN(C2CCN(S(=O)(=O)CCC)CC2)CC1,9.537751785
C=C(c1ccc(S(=O)(=O)c2ccc(OC)cc2)cc1)C1CCN(C2CCN(C(=O)OCC(C)C)CC2)CC1,9.522951134
COc1ccc(S(=O)(=O)c2ccc(CN3CCN(C4CCCCC4)C[C@H]3C)cc2)cc1,9.522878745
COc1ccc(S(=O)(=O)c2ccc([C@H](C)N3CCN(C4CCCCC4)C[C@H]3C)cc2)cc1,9.522878745
