SMILES,P(Act)
CN1CCc2cc(Cl)c(O)cc2[C@@H](c2ccccc2)C1,4.291194492
CCN(c1nc(N)c(C(=O)NC(=N)N)nc1Cl)C(C)C,4.499999679
C[C@H](O)C(=O)C1=Nc2c([nH]c(N)nc2=O)NC1,4.499999679
c1cc(CN2CCCCC2)cc(OCCCNc2nc3ccccc3s2)c1,4.499999679
COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)O)cc1OC,4.536212986
N[C@H](C(=O)O)[C@H](Cc1ccccc1)C(=O)O,4.536212986
CC(C)c1cc(F)cc2c1C[C@](CCN(C)CCCc1nc3ccccc3[nH]1)(OC(=O)C1CC1)CC2,4.650000221
O=C(O)c1ccc2ccccc2c1O.OCc1cc(C(O)CNCCCCCCOCCCCc2ccccc2)ccc1O,4.650000221
CCN(CC)[C@@H]1[C@@H]2[C@@H](CN(Cc3ccccc3)[C@H]2c2ccccc2)[C@H]1CO,4.657577319
O=C1Nc2ccc(I)cc2/C1=C/c1cc(Br)c(O)c(Br)c1,4.693196604
COc1ccccc1N1CCN(CCCn2cc(CCCCN3CCc4cc(O)c(O)cc4C(c4cccc(C)c4)C3)nn2)CC1,4.784573952
C[C@@H](NCCc1ccc(O)cc1)[C@@H](O)c1ccc(O)cc1,4.800000875
COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,4.849999245
CNCCC(Oc1ccccc1C)c1ccccc1,4.86338617
CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1,4.897127419
CCc1cccc(N(C)C(=N)Nc2cccc3ccccc23)c1,4.899998417
CN1CCCC1CCOC(C)(c1ccccc1)c1ccc(Cl)cc1,4.899998417
CCCCCN(CCCCC)C(=O)C(CCC(=O)O)NC(=O)c1ccc(Cl)c(Cl)c1,4.934202508
CCOC(=O)N1CCN([N+]([O-])=NOc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])CC1,4.949999402
NC[C@H](O)c1ccc(O)c(O)c1,4.959114551
COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC,4.965503897
COc1ccc(NC(=O)c2ccc(-c3ccc(-c4noc(C)n4)cc3C)cc2)cc1N1CCN(C)CC1,4.968411122
CCCCCCNC[C@H]1CCc2ccc(O)cc2O1,4.971199258
Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2COP(=O)(O)O[C@H]2[C@H]1O,4.993129803
Cc1ccc(S(=O)(=O)N[C@@H](Cc2ccccc2)C(=O)CCl)cc1,5.0
Fc1cccc(/C=N/N=C/c2cccc(F)c2)c1,5.008368624
CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,5.036212173
CCCN1CCC[C@@H]2Cc3nc(N)ncc3C[C@H]21,5.036212173
Nc1ncnc2c1nc(Sc1ccc(Cl)cc1)n2[C@H]1OC2COP(=O)(O)O[C@@H]2C1O,5.036212173
CCCCCCCCCCCCCCCCCC(=O)NCC(COP(=O)([O-])OCC[N+](C)(C)C)OCC,5.050634393
CCc1ccccc1OC[C@@H](O)CN[C@H]1CCc2ccccc2C1,5.075772419
COc1ccc(OC)c(C(O)C(C)N)c1,5.08621263
CCc1c(C)[nH]c2c1C(=O)C(CN1CCOCC1)CC2,5.091919975
CCCCCCCCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,5.146141644
N=C(NC(=O)c1nc(Cl)c(N)nc1N)Nc1ccccc1,5.147971615
Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,5.169892722
Cc1ccccc1/C=C/C1=NCCN1,5.173627127
NCC(O)c1ccc(O)c(O)c1,5.178394775
CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,5.192745798
CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,5.234890503
COc1ccc(C(=O)NCc2cccnc2)cc1C(=O)NCc1cccnc1,5.236235184
OC(CN1CCN(c2cccc(Cl)c2)CC1)C(c1ccccc1)c1ccccc1,5.236235184
NC1=NCC2c3ccccc3Cc3ccccc3N12,5.236599463
CC(N)C1CCC(C(=O)Nc2ccncc2)CC1,5.286215547
CC(C)(C)c1ccc(S(=O)(=O)/C=C/C#N)cc1,5.293158517
CCCN(CCC)C1CCc2ccc(O)cc2C1,5.294743699
O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cc2ccccc2s1,5.301247197
CCCOc1ccccc1N1CCN(CC(O)CCNC(=O)c2cc3ccccc3[nH]2)CC1,5.304518324
NCCCNCCCCNCCCN,5.336214297
CCCCn1cc(CCCOc2ccc(C(=O)NCCCCN(CCC)CCc3ccc(O)c4[nH]c(=O)ccc34)cc2OC)nn1,5.337242168
CC(CN1c2ccccc2Sc2ccccc21)N(C)C,5.36200772
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,5.367745223
CCCN1CCc2cccc3c2C1Cc1cccc(OC(=O)NCc2ccccc2)c1-3,5.37675071
CN1CCc2cc(SC[C@H](N)C(=O)O)cc3c2[C@H]1Cc1ccc(O)c(O)c1-3,5.37675071
COc1cc2c(c(OC)c1)CN1CCc3cc(OC)c(OC)c(OC)c3[C@@H]1C2,5.401238301
Oc1ccc2c(c1)O[C@@H](CNCCN1CCN(c3ccc(I)cc3)CC1)CC2,5.406135444
C#CC1=CC[C@H](N(CCC)CCCCNC(=O)c2ccc(OCCCc3cn(CCCC)nn3)c(OC)c2)CO1,5.408935393
CCCN1C[C@@H](Cn2ccc(-c3ccccc3)n2)O[C@@H]2Cc3c(O)cccc3C[C@H]21,5.408935393
COc1c(OCCF)cccc1[C@H](O)C1CCN(CCc2ccc(F)cc2)CC1,5.417028071
Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12,5.419696704
CN(C)CCCN1c2ccccc2Sc2ccccc21,5.422992935
CC1CCN=C(N)S1,5.436234225
O=C1CC2(CCCC2)CC(=O)N1CCCCNCC1COc2ccccc2C1,5.480000159
CN1CC[C@@]2(C)c3cc(O)ccc3N(C)C12,5.486236545
O=C(N[C@@H](Cc1ccccc1)C(=O)CCl)OCc1ccccc1,5.486362962
FC1(F)Oc2cccc(CN3CCN(C4=Nc5cc(Cl)ccc5Nc5ccccc54)CC3)c2O1,5.507798549
Cc1ccccc1CC1c2ccc(O)cc2CCN1C,5.520136887
COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,5.521794364
O[C@]1(c2ccc(Cl)cc2)C[C@@H]2CC[C@H](C1)N2Cc1csc2ccccc12,5.522878745
COc1ccccc1CCN1C2C3C4CC5C6C4C2C6C1(O)C53,5.525929497
O=C1CCCN1CC#CCN1CCCC1,5.53624135
COc1cc(CCNC[C@@H](O)c2ccc(O)c(O)c2)ccc1OCCCc1ccccc1,5.537602002
c1ccc2c(N3CCNCC3)cccc2c1,5.538476463
COc1cc(CCNCCc2ccc(O)c3[nH]c(=O)ccc23)ccc1OCCCc1ccccc1,5.552841969
Oc1ccc2c(c1O)CC(C1CCCCC1)O[C@H]2CNCc1ccccc1,5.563837353
CCCN1CCc2cccc3c2C1Cc1cccc(OCc2cn(CCCCN4CCN(c5ccccc5OC)CC4)nn2)c1-3,5.568636236
Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,5.577387182
O=C1NC(=O)C(c2ccccc2[N+](=O)[O-])=C1Nc1ccc(O)c(Cl)c1,5.583417735
CCCN(CCNC(=O)N=Nc1cc(F)c(F)c(F)c1)C1Cc2ccccc2C1,5.585026652
CNCCCC12CCC(c3ccccc31)c1ccccc12,5.595143486
Cc1nc2ccccn2c(=O)c1CCN1CCC(C(=O)c2ccc(F)cc2)CC1,5.597979481
CC1(C)C(=O)N(CCN2CCC(C(=O)c3ccc(F)cc3)CC2)c2ccccc21,5.603443248
O/N=C/c1cnn2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc12,5.604673607
CCCN1CCc2cccc3c2[C@H]1Cc1cccc(OC(=O)NCc2ccccc2)c1-3,5.619788758
O=C1c2ccccc2CCCN1CCCN1CCN(c2cccc(Cl)c2Cl)CC1,5.620000528
Cc1ccc2c(c1)C(N1CCN(C)CC1)=Nc1cccnc1N2,5.626527089
CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1,5.633296943
C=CCN1C[C@@H](C)N([C@H](c2ccc(C(=O)N(CC)CC)cc2)c2cccc(OC)c2)C[C@@H]1C,5.636237641
CCN(CC)C(=S)SSC(=S)N(CC)CC,5.664134408
O=C1C2C=CC=CC2=NC(=S)N1CCN1CCC(=C(c2ccc(F)cc2)c2ccc(F)cc2)CC1,5.665506038
CN1CCc2c(Cl)c(O)c(O)c(Cl)c2C(c2ccccc2)C1,5.677780705
CNCC(O)c1ccc(O)c(O)c1,5.688740739
CCCN1CCc2cccc3c2C1Cc1cccc(OCc2cn(CCCN4CCN(c5cccc(Cl)c5Cl)CC4)nn2)c1-3,5.697452628
CCN(CC)CCOc1ccccc1Cc1ccccc1,5.707965564
COc1c(OCCF)cccc1C(=O)C1CCN(CCc2ccc(C)cc2)CC1,5.714442691
O=C1Nc2ccc(F)cc2C1CCCCN1CCN(c2ccccc2)CC1,5.721246399
CCSC(=N)N,5.736221951
COc1ccc2c(c1)CCN(C)Cc1ccccc1CC2,5.762707662
COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CCCOc2ccc(F)cc2)CC1OC,5.769551079
COc1ccc(CCN(CCCc2ccccc2)CCc2ccc3c(c2)OCO3)cc1OC,5.774174009
Ic1ccc(N2CCN(Cc3c[nH]c4ncccc34)CC2)cc1,5.786243248
NC(CCCP(=O)(O)O)C(=O)O,5.786243248
CN1CCc2cccc(Cl)c2CC1,5.819864563
Oc1cc2c(cc1Cl)CCN=C(C1CC1)N2,5.823908741
CCCCCCCC/C=C\CCCCCCCC(=O)NCc1ccc(O)c(OC)c1,5.836242476
O=C(O)C1=CCCNC1,5.836242476
O=S1(=O)N(CCN2CC=C(c3c[nH]c4cc(F)ccc34)CC2)c2cccc3c2N1CCC3,5.840132153
CCCN1CCc2cccc3c2[C@H]1Cc1cccc(OCCCCN2CCN(c4ccccc4OC)CC2)c1-3,5.883724412
CCCN(CCCCNC(=O)/C=C/c1ccc(F)cc1)C1Cc2ccccc2C1,5.886056648
N#Cc1ccc(CCOC(=O)N2CCN(CCCC(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1,5.950781977
O=C1c2ccccc2CC1CCN1CCN(c2ccc(Cl)cc2)CC1,5.98087332
Cc1ccccc1-c1cc2c(=O)n(CCN3CCN(c4ccccc4Cl)CC3)c(=O)[nH]c2[nH]1,5.982966661
COc1cc(CNC(=O)CCCCCCC(C)C)ccc1O,5.986236145
NNC(=O)c1ccc(O)cc1,5.986236145
O=c1ccc2ccc(O)c(O)c2o1,5.986236145
COc1ccccc1N1CCN(CCCCCN2CCc3ccccc3C2=O)CC1,6.009998765
N#Cc1cnn2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc12,6.031517051
CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,6.048831261
COc1cc(CCNCCc2ccc(O)c(O)c2)ccc1OCCCc1ccccc1,6.065501549
CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21,6.078365539
N#CC(C#N)=C/C(N)=C(/C#N)c1cc(O)c(O)c(O)c1,6.086239114
COc1ccccc1N1CCN(CCc2ccc3[nH]nnc3c2)CC1,6.090000276
NC[C@@H]1O[C@H](c2ccccc2)Cc2c1ccc(O)c2O,6.099975951
C[N+](C)(C)CC#CCN1CCCC1=O,6.100015437
COc1ccccc1N1CCN(CCCCNC(=O)c2cc3c4ccc(c3o2)CCc2ccc(cc2)CC4)CC1,6.107905397
c1ccc2c(c1)CCN(CC1CC1)CCc1c([nH]c3ccccc13)C2,6.115204636
CN1CCc2cc(-c3ccc(O)cc3)cc3c2[C@H]1Cc1ccc(O)c(O)c1-3,6.122053048
COc1ccccc1N1CCN(CCCCNC(=O)c2cc3ccccc3s2)CC1,6.133712661
COc1cc2c(cc1O)[C@@H]1Cc3sc(CCCCCl)cc3CN1CC2,6.143428185
COc1cnc(Oc2ccc(-c3c(C)n[nH]c(=O)c3C)cc2)c2c[nH]nc12,6.158015195
Cc1cncc2c1CN[C@@H]1CCc3cc(O)c(O)cc3[C@@H]21,6.177178355
COc1ccccc1N1CCN(CCCn2cc(CCCN3CCc4cc(O)c(O)cc4C(c4cccc(C)c4)C3)nn2)CC1,6.1837587
O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,6.1837587
CCC(=O)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2,6.186352305
Cc1cc(Oc2ncccc2N2CC(F)C2)ccc1-c1c(C)c(=O)[nH]c(=O)n1C,6.187086643
COc1cc2c(cc1O)[C@@H]1Cc3sc(CC(C)(C)C)cc3CN1CC2,6.198054617
CCCN1Cc2ccccc2C2c3cc(O)c(O)cc3OCC21,6.226213555
Fc1ccc(CCCCN2CCN(c3ccc(Cl)cc3)CC2)cc1,6.229884705
Clc1ccc2c(c1)N=C(N1CCN(Cc3ccc4c(c3)OCCO4)CC1)c1ccccc1N2,6.234331445
CC[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4c3c(cn4C)C[C@H]2N(C)C1,6.235764072
NCC(CC(=O)O)c1ccc(Cl)cc1,6.236272596
Oc1cc(O)cc(/C=C/c2ccc(O)c(O)c2)c1,6.236272596
COc1cc2c(cc1OC)Cc1ccccc1CCCN(C)CC2,6.237321436
Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2O,6.241921178
O=C(NCCCCN1CCN(c2cccc(F)c2F)CC1)c1cc2ccc1CCc1ccc(cc1)CC2,6.244125144
CN1CCc2ccccc2Cc2ccn(C)c2CC1,6.275314612
C=CC1(C)CC(=O)C2(O)C(C)(O1)C(OC(C)=O)C(O)C1C(C)(C)CCC(O)C12C,6.286173576
