SMILES,P(Act)
COc1cc(/C=C/C(=O)NCCn2c(C(F)(F)F)cc3ccccc32)cc(OC)c1OC,4.124938737
O=S(=O)(Nc1cc2c(c3ccccc13)OC1(N3CCOCC3)CCCCC21)c1ccccc1,4.470184803
O=S(=O)(c1ccccc1)N1C=Cc2ccccc2C1c1c[nH]c2ccccc12,4.501276029
O=S(=O)(Nc1cc(Sc2cccc3cccnc23)c(O)c2ccccc12)c1ccc(F)cc1,4.534765905
CN(C)[C@H]1CC[C@@H](c2c[nH]c3ccc(F)cc23)C1,4.552841969
NCCc1ccccc1,4.774690718
CCCN(CCC)CC1COc2cccc(OC)c2C1,4.800000053
CC[C@@H]1O[C@](/C=C/C2CC2)(C(F)(F)F)c2c(ccc(F)c2F)NC1=O,4.823908741
Cn1cc(C(=O)C(=O)N[C@H]2CN3CCC2CC3)c2ccccc21,4.900000142
NC1c2ccccc2Cc2ccccc21,4.920818754
CCNC(=O)N(CCCN(C)C)C(=O)[C@@H]1C[C@@H]2c3cccc4c3c(cn4C)C[C@H]2N(C)C1,4.93930216
CCCN1CCN(CCCCN2C(=O)CC3(CCCC3)CC2=O)CC12COc1cccc(OC)c1C2,4.950000176
CCCN1CCN(CCC)C2(COc3cccc(OC)c3C2)C1,5.0
COc1cc(OC)c(C(=O)CCCCN2CCC3(CC2)NC(=O)NC3=O)cc1NS(=O)(=O)c1ccc(C(C)=O)cc1,5.0
COc1cc(OC)c(C(=O)CCCCN2CCC3(CC2)NC(=O)NC3=O)cc1NS(=O)(=O)c1ccc(NC(C)=O)cc1,5.0
COc1ccccc1C(=O)CCCCN1CCC2(CC1)NC(=O)NC2=O,5.0
CC(=O)NC1CCN(Cc2ccc(OCCCc3ccc(Oc4ccccc4)nn3)cc2)CC1,5.015472687
COc1ccc(-c2ccc(CCCNc3ccc(CN4CCC(O)CC4)cc3)nn2)cc1,5.054531415
COc1ccc(N2CCC(c3cccc(F)c3)C2=O)cc1OCCN1CCCCC1,5.100000128
COc1ccc(N2Cc3cc(Cl)cc(Cl)c3C2=O)cc1OCCN1CCOCC1,5.100000128
c1ccc(OC2CN(c3c4c(nc5ccnn35)CCNCC4)C2)cc1,5.109355464
CN(C)CCc1c[nH]c2cc(O)ccc12,5.119186408
C[C@@]12CNCCN1C(=O)c1ccccc1C2,5.1590788
C#Cc1cc2c(c(C(F)(F)F)c1)C(=O)N1CCNC[C@@H]21,5.183096161
CCc1cc(Cl)c2c(c1)[C@H]1CNC[C@@H]1N(C)C2=O,5.185219854
CCCSc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cccnc1)CC2,5.200000237
CN(C)c1ccc2c(c1)CCN2C(=O)Nc1cccnc1,5.200000237
COC(=O)c1cc2c(cc1Cl)N(C(=O)Nc1cccnc1)CC2,5.200000237
Cc1cc(NC(=O)Nc2ccc3sccc3c2)on1,5.200000237
Cn1ccc2c3c(ccc21)N(C(=O)Nc1cccnc1)CCC3,5.200000237
Cn1ccc2cc(NC(=O)Nc3cccnc3)ccc21,5.200000237
CC(C)Nc1cc2c(cc1NS(=O)(=O)c1ccc(-c3ccc(Cl)cc3)cc1)CCN(C)CC2,5.200975463
Cc1ccc(S(=O)(=O)N(C)C2CCN(C)CC2)cc1C,5.223298816
CCCN1CCC(COc2nc3c(OC)cccc3c3ccccc23)CC1,5.224608028
COc1ccc(N2CCN(CC[C@@H](OC(N)=O)c3ccccc3)CC2)cc1,5.236572006
COCCn1c(C)c(C)c(S(=O)(=O)c2ccc(Cl)cc2)c1N,5.278684119
COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1ccc(C)c(-c3cccnc3)c1)CC2,5.300000202
CSc1ccc2c(c1Cl)CCN2C(=O)Nc1cccnc1,5.300000202
CCc1cc(Cl)c2c(c1)[C@@H]1CNCCN1C2=O,5.304518324
CN1CCC(c2c[nH]c3ccc(NC(=O)c4ccc(F)cc4)nc23)CC1,5.318758763
c1ccc(C2(c3ccccc3)CCNC2)cc1,5.336299075
OCCN1CCN(c2nc(Nc3cccc(O)c3)c3ccccc3n2)CC1,5.337082642
COc1ccc(-c2ccc(CCCNc3ccc(CN(C)C)cc3)nn2)cc1,5.339134522
Cc1c(C(=O)NCCCN2CCN(c3ccncc3)CC2)cc(-c2ccccc2)n1C,5.341130408
NC[C@H]1C[C@@H]1c1ccc(Cl)cc1,5.348528148
COc1ccc(NC(=O)N2CCN(c3ccc(F)cc3)CC2)cc1N1CCN(C)CC1,5.351542406
O=S(=O)(c1ccccc1)c1c[nH]c2cccc(CCCN3CCCCC3)c12,5.355266073
c1ccc(CNC[C@@H]2CCN(CCc3c[nH]c4ccc(-n5cnnc5)cc34)C2)cc1,5.356547324
OC1(c2ccc(Cl)cc2)CCN(CCCCc2nc3ccccc3s2)CC1,5.37073315
COc1ccc(CN2C3C4C5CC6C7C5C3C7C2(O)C64)cc1OC,5.380697924
NCC1c2ccccc2C=Cc2ccccc21,5.384049948
N#Cc1ccc2c(c1)C(=O)N1CCNC[C@H]1C2,5.397940009
COc1ccc(N2CCN(c3ccccc3Cl)C2=O)cc1OCCN1CCCCC1,5.400000186
O=C(Nc1cccnc1)N1CCc2cc(Br)cc([N+](=O)[O-])c21,5.400000186
Cc1ncccc1Oc1ccc(NC(=O)N2CCc3cc(Br)ccc32)cn1,5.400007822
COc1ccccc1N1CCN(CCCn2c(=O)ccn3c4c(=O)n(C)c(=O)n(C)c4nc23)CC1,5.41100041
OCCN1CCN(c2nc(Nc3ccc(Cl)cc3)c3ccccc3n2)CC1,5.423706459
COc1ccc2[nH]c(C(=O)NCCC(F)CN3CCN(c4ccccc4OC)CC3)cc2c1,5.450996738
Cc1cccc(S(=O)(=O)N(C)C2CCN(C)CC2)c1,5.462180905
O=c1[nH]c2cc(Cl)ccc2n1C1CCN(CCCCc2nc3ccccc3o2)CC1,5.469772118
O=C(NCCC(F)CN1CCN(c2cccc(Cl)c2Cl)CC1)c1cc2ccccc2s1,5.482804102
CC1CCN(CCC2CCCCN2S(=O)(=O)c2cccc3ccccc23)CC1,5.499999679
COc1cccc2c1Cc1ccn(CC(C)N)c1-2,5.499999679
Cc1ccc2c(OCCN3CCC(Cc4ccc5c(c4)NC(=O)CO5)CC3)cccc2n1,5.499999679
O=C1CC(c2ccccc2)CN1c1cnc2c(N3CCNCC3)cccc2c1,5.508638306
CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,5.510533719
CCOc1ccccc1[C@H]1C[C@@H]1CN,5.519993057
C[C@@H]1c2ccccc2C(=O)N2CCNC[C@@H]12,5.519993057
CCCCn1cc(CCN(C)C)c2c(OP(=O)(O)O)cccc21,5.522878745
COc1ccc2oc(C(=O)NCCC(F)CN3CCN(c4ccccc4OC)CC3)cc2c1,5.522878745
O=C1N[C@@H](Cc2ccc3[nH]cc(CCN4CC[C@@H](CNCc5ccccc5)C4)c3c2)CO1,5.522878745
NC[C@@H]1C[C@H]1c1cc(F)ccc1OCCF,5.523748204
CN(C)[C@H]1Cc2ccccc2[C@H](c2ccccc2Cl)C1,5.552841969
CCN(CC)c1nc(Nc2ccc(C)c(C)c2)c2cn[nH]c2n1,5.560193789
CC(C)c1cc2c(c(C(F)(F)F)c1)C(=O)N1CCNC[C@@H]21,5.581698709
C[C@@H]1CNC[C@H]2Cc3ccc(C#N)nc3N12,5.593971055
O=C(Nc1cccnc1)N1CCc2cc(Cl)ccc21,5.599989874
COc1ccc(N2CCN(c3ccccc3)C2=O)cc1OCCN1CCCCC1,5.599999383
COc1ccc(N2Cc3ccc(Cl)cc3C2=O)cc1OCCN1CCCCC1,5.599999383
c1ccc(N2CCN(CC3CCCCN3)C2)cc1,5.599999383
Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,5.600066818
CN1CCC(N(C)S(=O)(=O)c2ccc(OC(F)(F)F)cc2)CC1,5.611188587
O=C(NCCN1CCCN(C[C@H]2COc3ccccc3O2)CC1)c1cccnc1Oc1ccccc1,5.619788758
CN(C)CC[C@@H](c1ccc(Cl)cc1)c1ccccn1,5.624610764
N#Cc1cccc(NC(=O)NCCCN2CCCC(Cc3ccc(F)cc3F)C2)c1,5.628009089
c1cc2nc3c(c(N4CCC4)n2n1)CCNCC3,5.629301907
NCC1CC1c1c(OCCF)ccc(F)c1F,5.631134132
CCc1c(C(=O)NCCCN2CCN(c3cccc(Cl)c3Cl)CC2)nc(-c2ccc(Cl)cc2Cl)n1-c1ccc(Br)cc1,5.634512015
COc1ccccc1N1CCN(Cc2c[nH]c3ncccc23)CC1,5.636087314
c1cc2nc3c(c(N4CCCC4)n2n1)CCNCC3,5.63638802
COc1ccc(S(=O)(=O)N(CCCN2CCN(c3ccccc3OC)CC2)CC2CC2)cc1,5.655607726
CSc1ccccc1N1CCN(CCCCCC(=O)N2Cc3ccccc3C[C@H]2C(N)=O)CC1,5.696803943
COc1ccc(S(=O)(=O)Nc2cc(C(=O)CCCCN3CCC4(CC3)NC(=O)NC4=O)c(OC)cc2OC)cc1,5.700000504
N=C(N)NC(=O)Cc1c(Cl)cccc1Cl,5.712758289
O=C(/C=C/c1ccc(-c2ccc(Cl)cc2)cc1)Nc1ccc(CN2CCCCC2)cc1,5.713992878
CC(=O)OC12C=C(C)C(C(C)C1)C1C(=O)N(OCCCN3CCN(c4ccccn4)CC3)C(=O)C12,5.738059447
COc1ccc(S(=O)(=O)NC(C)CCN2CCN(c3cccc(C(F)(F)F)c3)CC2)cc1,5.738975166
NC[C@H]1C[C@@H]1c1cc(Cl)ccc1OCC(F)F,5.74208155
Cn1ccc2cc3c(cc21)CCN3C(=O)Nc1cccnc1,5.742673082
CCCCN1CCC(COC(=O)c2cc(Cl)c(NC)c3c2OCCO3)CC1,5.750557039
C[C@H]1CN2C(=O)c3ccccc3C[C@@H]2CN1,5.759450752
CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1,5.77237035
O=C([C@@H]1CCCN1C(=O)CCCCN1CCN(c2ccccc2-c2ccccc2)CC1)N1CCCCC1,5.773657913
C=C(F)COc1ccc(F)cc1[C@H]1C[C@@H]1CN,5.778325003
C=CCN(CC=C)CCc1c[nH]c2ccc(OC)cc12,5.781702375
COc1ccc(Cl)cc1S(=O)(=O)n1cc(/C=N/N=C/N(C)C)c2c([N+](=O)[O-])cccc21,5.797784224
CC1CNCCc2ccccc21,5.797935558
Cc1ncccc1Oc1ccc(NC(=O)N2CCc3cc(I)ccc32)cn1,5.799985804
COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cc(F)c(C)c(-c3cccnc3)c1)CC2,5.800000875
COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cncc(-c3ccccc3)c1)CC2,5.800000875
COc1ccc(N2CCN(c3cccc(Cl)c3Cl)C2=O)cc1OCCN1CCCCC1,5.800000875
Cc1cc2c(cc1Cl)N(C(=O)Nc1ccc(Oc3cccnc3C)nn1)CC2,5.800000875
Clc1cc(Cl)c(OCC#CI)cc1Cl,5.807850875
COc1cccc(CCCN(CCc2ccc(OC)c(OC)c2)Cc2ccc3c(c2)OCO3)c1,5.821886748
Fc1ccc(F)c(CO[C@H]2CCc3ccc(N4CCNCC4)nc32)c1,5.823908741
CNCCC(c1ccccc1)c1ccccc1,5.824488187
COc1ccc(CCN(CCc2ccccc2)CCc2ccc3c(c2)OCO3)cc1OC,5.83209219
CC1CC(=O)c2ccc(N3CCN(C)CC3)cc2N1S(=O)(=O)c1ccc2ccccc2c1,5.835052627
CNCc1cc(OC)ccc1Oc1ccc(Cl)c(Cl)c1,5.838631998
CCCOc1cccc2c1C[C@@H]1CNCCN1C2=O,5.839231438
C[C@@H]1CNCCN1c1ccc2c(n1)[C@@H](OCc1cc(F)ccc1F)CC2,5.845271793
CCc1cccc2c1C[C@@H]1CNCCN1C2=O,5.846490011
CNC(=O)c1cc(C)cc(OCCCCN2CCN(c3cccc(Cl)c3Cl)CC2)c1,5.853871964
COc1ccccc1N1CCN(c2nc(Nc3ccc(F)cc3)c3cn[nH]c3n2)CC1,5.860750782
COc1ccc(Nc2nc(N3CCN(CCO)CC3)nc3ccccc23)cc1,5.866636761
O=C1NCN(c2ccccc2)C12CCN(CCCCc1nc3cc(Cl)ccc3s1)CC2,5.868398977
COc1ccc(NC(=O)N2CCN(c3ccc(SC)cc3)CC2)cc1N1CCN(C)CC1,5.874518734
CCNC(=O)c1cccc(NC2=NC(N)=NC3(CCCCC3)N2)c1,5.881735274
CC1CCc2cc(F)cc3c(CCN)cn1c23,5.884555917
CNCCc1cn2c3c(cc(F)cc13)CCC2C,5.893129456
CCCc1cc2c(cc1Cl)N(C(=O)Nc1cccnc1)CC2,5.899998417
COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cncc(-c3cc(F)cc(F)c3)c1)CC2,5.899998417
COc1ccc(NS(=O)(=O)c2ccc(Br)cc2)cc1N1CCN(C)CC1,5.899998417
Cc1ccc(N2CC=C(c3ccc(Cl)c(Cl)c3)C2=O)cc1OCCN1CCCCC1,5.899998417
Cc1noc(C)c1-c1ccc(S(=O)(=O)Nc2ccc3c(c2)CCN(C)CC3)cc1,5.899998417
O=C1C(c2ccc(Cl)c(Cl)c2)=CCN1c1ccc(Cl)c(OCCN2CCCCC2)c1,5.899998417
O=C1C(c2ccc(Cl)c(Cl)c2)=CCN1c1ccc(N2CCCC2)c(OCCN2CCCCC2)c1,5.899998417
CN(C1CCN(CCOc2ccccc2C(C)(C)C)CC1)S(=O)(=O)c1ccccc1,5.901702464
Cc1c2n(c3ccc(Cl)cc13)CCNC2,5.903089987
Cc1cccc(N2CCN(CCCNC(=O)c3cc(-c4ccccc4)n(CC4CCCCC4)c3C)CC2)c1C,5.909036923
CC(C)NC[C@H](O)COc1cccc2ccccc12,5.917035206
O=C1c2c(Cl)cccc2C2CNCCN12,5.927015255
CN(C)CCCC(c1ccccc1)c1ccccc1,5.938924676
O=S(=O)(NC1CC2CCC(C1)N2CCOc1cccc(-c2ccccc2)c1)c1cccc(Cl)c1,5.940815382
CC(=O)Nc1ccc2c(c1)N1[C@H](C)CNC[C@H]1C2,5.958607315
NC(=O)c1cccc(OCCCCN2CCN(c3cccc(Cl)c3Cl)CC2)c1,5.958607315
OC[C@H](NC1CCN(CCCc2c[nH]c3ccc(-n4cnnc4)cc23)CC1)c1ccc(F)cc1,5.958607315
O=c1ccc(N2CCNCC2)nn1CCOc1ccccc1C(F)(F)F,5.962573502
C[C@H]1CNC[C@H]2Cc3ccccc3C(=O)N12,5.966174306
Cn1c(=O)c2c(nc3n(CCCN4CCN(c5cccc(Cl)c5)CC4)c(=O)ccn23)n(C)c1=O,5.966998681
CC(=O)OC12C=C(C)C(C(C)C1)C1C(=O)N(OCCCN3CCN(c4ccccc4F)CC3)C(=O)C12,5.969699895
Cc1c(C(=O)NCCCN2CCN(c3cccc(Cl)c3)CC2)cc(-c2ccccc2)n1CC1CCCCC1,5.971835581
CN(C)CC1C[C@@H]2c3ccccc3COc3ccccc3[C@H]2O1,5.973058372
N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,5.97736546
O=C(CCCN1CCCN(c2ccc(Cl)cc2)CC1)c1nc2ccccc2s1,5.983802646
COc1ccccc1N1CCN(CCCN2C(=O)C3C4C(C)=CC(OC(C)=O)(CC4C)C3C2=O)CC1,5.989850631
CCCN1CCC(COc2nc3c(I)cccc3c3ccccc23)CC1,5.991825816
CN1CCC(N(C)S(=O)(=O)c2ccccc2)CC1,5.991825816
CCc1ccc(Cl)c2c1[C@H]1CNC[C@@H]1NC2=O,5.992892617
CCOC(=O)Cn1c(NCCCN2CCN(c3ccccc3)CC2)nc2c1c(=O)n(C)c(=O)n2C,5.996001242
CC(C)n1nc(C(=O)NCC2CCN(CCc3ccc([N+](=O)[O-])cc3)CC2)c2ccccc21,6.0
CCCN(CCCCN1C(=O)CC2(CCCC2)CC1=O)C1COc2cccc(OC)c2C1,6.0
CN(C)CC1CC2c3cccnc3Cc3ccccc3N2O1,6.0
COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cc(Br)cc(-c3cccnc3)c1)CC2,6.0
COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1ccc(Cl)c(-c3cnccc3C)c1)CC2,6.0
COc1ccc(N2CC=C(c3ccc(C)cc3)C2=O)cc1OCCN1CCCCC1,6.0
COc1ccc2c(c1)c1c(n2C)CN(c2ccc(OC)c(OCCN3CCCCC3)c2)C1=O,6.0
Cc1[nH]c2ccc([N+](=O)[O-])cc2c1C1=CCNCC1,6.0
Cc1ccc2c(N3CCN(CCc4cccc(N5CCNC5=O)c4)CC3)cccc2n1,6.0
Cc1cccc(COc2ccc(NC(=O)N3CCc4cc(C)c(C(F)(F)F)cc43)cn2)n1,6.0
CN1CCC(N(C)S(=O)(=O)c2cccc(Cl)c2)CC1,6.006123085
CCOc1ccc(CCOC(=O)N2CCN(CCCc3ccccc3)CC2)cc1,6.008773924
COc1ccc2c(c1)CCC1(CCN(CCN3CCNC3=O)CC1)O2,6.013228266
C=CCOc1cc(F)c(F)cc1C1CC1CN,6.014616194
COc1cc2c(cc1OC)-c1c(OC)c(OC)cc3c1[C@H](C2)N(C)CC3,6.015022874
COc1cc2c3c(c1OC)-c1cc4c(cc1C[C@H]3N(C)CC2)OCO4,6.024108864
O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,6.030584088
C=C(C)COc1ccc(Cl)cc1[C@H]1C[C@@H]1CN,6.04431225
COc1ccc2c(c1)CC(CN1CCN(c3ccccc3OC)CC1)CC2=O,6.050000457
CCOc1c(OC)cc2c3c1-c1cc4c(cc1CC3N(C)CC2)OCO4,6.050609993
CCCn1c(-c2ccccc2)cc(C(=O)NCCCN2CCN(c3cccc(OC)c3OC)CC2)c1C,6.058488567
Cc1ccc(CNc2cc3c(cc2O)C(c2ccccc2)CN(C)CC3)cc1,6.064492734
N#Cc1ccc(CCOC(=O)N2CCN(CCCc3ccccc3)CC2)cc1,6.068542129
COc1cc2c(c(C(F)(F)F)c1)C(=O)N1CCNC[C@@H]21,6.073400346
C[C@@H](Cn1ccc2ccc3ncccc3c21)NCc1ccccc1,6.074687909
Clc1ccc(Nc2nc(N3CCNCC3)nc3ccccc23)cc1,6.077264165
