SMILES,P(Act),Unnamed: 2
COC(=O)[C@@H]1CCCC[C@@H]1c1ccc(OC(F)(F)F)cc1,3.14327111,
COC(=O)[C@@H]1CCCC[C@@H]1c1ccc(C(C)(C)C)cc1,3.170696227,
COC(=O)[C@@H]1CCCC[C@@H]1c1ccc(-c2ccccc2)cc1,3.181774106,
CNCC[C@H](Oc1cccc2c(O)c(O)ccc12)c1cccs1,3.204467557,
COC(=O)C1=C(c2ccc(O)cc2)CCCC1,3.231361899,
O=C(C1=C(c2ccc(Cl)c(Cl)c2)CCC1)N1CCOCC1,3.522878745,
COC(=O)C1=C(c2ccc(Cl)cc2)CCC1,3.524328812,
C/C=C/C1=C(c2ccc(Cl)c(Cl)c2)CCCC1,3.59345982,
CNCC[C@H](Oc1cccc2c(OC)c(O)ccc12)c1cccs1,3.628009089,
COC(=O)C1=C(c2ccc(-c3ccccc3)cc2)CCCC1,3.66756154,
CN1[C@H]2CC[C@@H]1C[C@@H](NC(c1ccc(F)cc1)c1ccc(F)cc1)C2,3.818156412,
COc1cc2c(cc1OC)CN(C)CC2,3.889747083,
O=C(Oc1ccccc1)C1=C(c2ccc(Cl)c(Cl)c2)CCC1,4.070581074,
COC(=O)C1=C(c2ccc3ccccc3c2)CCCCC1,4.167491087,
CN1C2CCC1CC(O)(c1ccccc1-c1ccccc1)C2,4.178486472,
COc1ccc([C@@H]2C3CCC(C[C@H]2c2ccc(C)cc2)N3C)cc1OC,4.207608311,
CCN(CCc1ccccc1OC(F)(F)F)CCN1CCCCC1,4.235823868,
COC(=O)[C@@H]1CCCCC[C@@H]1c1ccc(-c2ccccc2)cc1,4.292429824,
O=C(OCc1cccs1)C1=C(c2ccc(Cl)c(Cl)c2)CCC1,4.37675071,
COc1ccc(C2=NN(CCCCCBr)C(=O)[C@@H]3CC=CC[C@H]23)cc1OC,4.407612256,
COc1ccc(F)cc1[C@H]1CC[C@H](CCN)O1,4.560667306,
O=c1ncn2nc(Sc3ccc(F)cc3F)ccc2c1-c1c(Cl)cccc1Cl,4.692076296,
CNCC[C@H](Oc1cccc2c(O)cccc12)c1cccs1,4.735182177,
C[C@]12CC[C@@H]3c4ccc(OC(=O)c5ccccc5)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,4.765533337,
CN1C2CCC1[C@@H](C(=O)Nc1cccc(F)n1)[C@@H](c1ccc(Cl)cc1)C2,4.77270475,
COC(=O)C1=C(c2ccc(Cl)c(Cl)c2)CCC1,4.77815125,
CN1C2CCC1[C@@H](C(=O)Nc1ccc(Br)nc1)[C@@H](c1ccc(Cl)cc1)C2,4.790190194,
N#Cc1cc(F)c(Cl)cc1O[C@H](CCN)c1ccccc1,4.795880017,
NC[C@@H](c1ccccc1)[C@@H](O)c1ccccc1,4.903089987,
CN1C2CCC1[C@@H](C(=O)Nc1ccnc(Br)c1)[C@@H](c1ccc(Cl)cc1)C2,4.917573699,
CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2cc(C(=O)N(C)C)ccc21,4.93930216,
CCOC(=O)C1=C(c2cccc([N+](=O)[O-])c2)CCNC1,5.0,
NCC1(c2cccs2)CCCCC1,5.00056495,
COc1ccccc1CCN1C2C3C4CC5C6C4C2C6C1(O)C53,5.00414552,
CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(CC(=O)O)cc21,5.017728767,
CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2cc(C(=O)O)c(NS(C)(=O)=O)cc21,5.040958608,
O=C1OC[C@H](Cc2ccc3c(c2)OCO3)[C@H]1Cc1ccc2c(c1)OCO2,5.057495894,
NCC1(c2ccc(-c3ccccc3)cc2)CCCCC1,5.05883654,
CN(C)Cc1ccccc1C(=O)c1ccc(Cl)c(Cl)c1,5.065501549,
COC(=O)C1=C(c2ccc(-c3ccccc3)cc2)CCCCC1,5.073143291,
Fc1ccc(C(N[C@@H]2C[C@@H]3CC[C@H](C2)N3CCc2c[nH]c3ccccc23)c2ccc(F)cc2)cc1,5.083546051,
COc1cccc(C(=O)C(C)NC2CCCC2)c1,5.086186148,
CC1NC(C)(C)COC1(O)c1ccccn1,5.099632871,
CN1[C@H]2CC[C@@H]1C[C@H](NC(c1ccc(Cl)cc1)c1ccc(Cl)cc1)C2,5.120330794,
COc1ccc(F)c(CCCC2CCC(CCNCCCCCN3N=C(c4ccc(OC)c(OC)c4)[C@H]4CC=CC[C@H]4C3=O)O2)c1,5.128368695,
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,5.138017786,
CC(NC(C)(C)C)C(=O)c1ccccc1,5.142667504,
CN(C)C1CCN(c2ccc(Cl)c(Cl)c2)c2ccccc21,5.146240967,
CCC(CCNC)Oc1cc(Cl)ccc1C#N,5.148741651,
CN(C)Cc1ccccc1Oc1ccc(OC(F)(F)F)cc1,5.173925197,
COc1ccc(C2=NN(CCCCCNCC[C@@H](Oc3ccc(C(F)(F)F)cc3)c3ccccc3)C(=O)C3CC=CCC23)cc1OC,5.174638804,
[11CH3]Oc1cccc2c1CCN(CCCc1c[nH]c3ccc(Br)cc13)C2,5.180456064,
CCCO[C@]1(c2cccc(O)c2)CCCC[C@@H]1CN(C)C,5.204258979,
C=CCN(c1ccncc1)n1ccc2ccccc21,5.207608311,
CCCCNCC1CC1(C(=O)N(CC)CC)c1ccccc1,5.214670165,
CNCc1ccccc1Sc1ccc(C(F)(F)F)cc1,5.22184875,
COc1ccc(O[C@H]2C[C@@H](N(C)C)c3ccccc32)cc1,5.22184875,
C=CCN1C2CCC1CC(OC(c1ccc(F)cc1)c1ccc(F)cc1)C2,5.227678293,
COc1ccc([C@]23CCCC[C@H]2CN(C)C3)cc1OC,5.229999746,
COc1ccc(F)cc1CCC[C@H]1CC[C@H](CN)O1,5.241277301,
CC(C)CC(N(C)C)C1(c2ccc(Cl)cc2)CCC1,5.248566918,
CN1C2CCC1[C@@H](C(=O)Nc1ccc(NC(=O)[C@H]3C4CCC(C[C@@H]3c3ccc(Cl)cc3)N4C)cc1)[C@@H](c1ccc(Cl)cc1)C2,5.26760624,
Clc1ccc(C[C@]23CCCC[C@H]2CNC3)cc1Cl,5.269999835,
Cc1ccccc1O[C@H]1c2ccccc2C[C@H]1CN(C)C,5.301029996,
Cc1cc(C(=O)C(C)NC(C)(C)C)ccc1Br,5.347656945,
CN1[C@H]2CC[C@@H]1[C@@H](c1ncc(-c3ccc(Cl)c(Cl)c3)s1)[C@@H](c1ccc(Cl)cc1)C2,5.356547324,
CN[C@H]1CC[C@@H](N2CCc3ccc(NC(=N)c4cccs4)cc32)CC1,5.356547324,
COc1cc(OC(C)C)cc(S(=O)(=O)c2ccc3c(c2)O[C@H]2CNCC[C@@H]32)c1,5.356547324,
CN1C[C@@H]2CCC[C@]2(c2cc(Cl)cc(Cl)c2)C1,5.36999951,
CCCN1CC[C@@H](Cc2ccc(F)cc2)C[C@@H]1CCCNC(=O)Nc1cccc(C(C)=O)c1,5.38007229,
CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12,5.385899369,
CC(C(=O)c1cccc(Cl)c1)N1CCCCC1,5.395126229,
CC(N)C1(c2cccc3ccccc23)CCCCC1,5.397940009,
c1ccc2cc(COC3CCNCC3)ccc2c1,5.403402904,
Cc1ccc(Sc2ccccc2CNCCF)c(N)c1,5.407823243,
Oc1ccc(OCc2ccccc2)cc1,5.412289035,
CCCO[C@]1(c2cccc(OC)c2)CCCC[C@@H]1CN(C)C,5.412625828,
Cc1ccc([C@H]2C3CCC(C[C@H]2c2ccccc2)N3C)cc1,5.425968732,
CCCCCCC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,5.427709394,
CNC[C@@H]1CCC[C@H]1c1ccc2[nH]cc(C#N)c2c1,5.431798276,
NCC1C[C@]1(C(=O)N1CCCC1)c1ccccc1,5.431798276,
Fc1cccc(CCN[C@H]2C3C4CC5C6C4CC3C6C52)c1,5.440931666,
O=C1NCC(c2ccc(Cl)cc2)C1c1ccccc1Cl,5.447331784,
CN(C)C[C@@H](c1ccccc1)[C@@H](O)C(C)(C)C,5.46470588,
CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,5.476253533,
CN1CCOC(CN2c3ccccc3N(c3ccccc3)S2(=O)=O)C1,5.480565805,
CN1CCCN(c2ccc(Cl)c(Cl)c2)C(=O)C1,5.494850022,
CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(C#N)cc21,5.494850022,
[2H]C([2H])([2H])N(C[C@H]1CCCC[C@]1(O)c1cccc(OC)c1)C([2H])([2H])[2H],5.494850022,
CN(C)Cc1ccccc1C(O)c1ccc(Cl)c(Cl)c1,5.508638306,
CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1,5.51243744,
Clc1ccc(C[C@@]23CCCC[C@@H]2CNC3)cc1Cl,5.529999886,
CNC(=O)c1ccc(Oc2ccc(OC(F)(F)F)cc2)c(CN(C)C)c1,5.537602002,
CCN[C@H]1CC[C@H](c2c[nH]c3ccc(NC(=N)c4cccs4)cc32)CC1,5.552841969,
Cc1ccccc1OC1c2ccccc2CC1(O)CNCCO,5.552841969,
NCC1(c2ccc(Cl)c(Cl)c2)CCCCCC1,5.555486794,
CCN(CC)C(=O)[C@]1(c2ccccc2)C[C@@H]1CN,5.555720936,
COc1ccc([C@H]2C[C@H]3CC[C@H]([C@H]2C(=O)OCCc2cc(Br)c(N)c(Br)c2)N3C)cc1,5.567030709,
COc1ccc(C2=NN(CCCCCNCC[C@@H](Oc3cccc4ccccc34)c3cccs3)C(=O)[C@@H]3CC=CC[C@H]23)cc1OC,5.574058412,
NC1Cc2ccccc2N(c2ccc(Cl)c(Cl)c2)C1,5.58552805,
CN1[C@H]2CC[C@@H]1[C@@H](c1cn(Cc3ccccc3)nn1)[C@@H](c1ccc(Cl)cc1)C2,5.591760035,
COc1cccc([C@]23CCCC[C@H]2CN(C)C3)c1,5.609999808,
CN[C@H]1CCC[C@@H](c2c[nH]c3ccc(NC(=N)c4cccs4)cc23)C1,5.619788758,
CCC(CC)C(c1ccc(Cl)cc1)C1CCCCN1,5.628932138,
CN(C)[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(I)cc21,5.638272164,
OC1(c2ccc(Cl)cc2)CCN(CCCSc2ccc(F)cc2)CC1,5.648010545,
COc1ccc([C@H]2C[C@H]3CC[C@H]([C@H]2C(=O)OCCc2ccc(N)cc2)N3C)cc1,5.657577319,
COc1ccc(C2=NN(CCCCCNCC[C@H](Oc3cccc4ccccc34)c3cccs3)C(=O)[C@@H]3CC=CC[C@H]23)cc1OC,5.659555885,
CNCC1(c2ccc(F)c(F)c2)CCCCC1,5.659952682,
COc1ccc(S(=O)(=O)n2cc(C)c3cc(Cl)cnc32)cc1NC1CCN(C)CC1,5.671824339,
Brc1ccc(N2CCN(CCN3CCC(Cc4ccccc4)CC3)CC2)cc1,5.677780705,
Clc1ccc(CSC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,5.694971246,
O=C1CNCC(F)(F)CN1c1ccc(Cl)c(Cl)c1,5.698970004,
Fc1ccccc1Oc1cccc(F)c1OC1CCCNC1,5.709965389,
Clc1ccc(CO/N=C(\Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,5.720698163,
CCCN(c1ccncc1)n1ccc2cc(Cl)ccc21,5.721246399,
O=C1NCC(c2ccc(Cl)cc2)C1c1ccc(Cl)c(Cl)c1,5.721246399,
CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1,5.728390699,
CN(C)C1Cc2ccccc2N(c2ccc(Cl)c(Cl)c2)C1,5.731188096,
COc1ccc([C@H]2C[C@H]3CC[C@H]([C@H]2C(=O)OCCc2ccc(N)c(Br)c2)N3C)cc1,5.732828272,
N[C@H]1Cc2ccccc2N(c2ccc(Cl)c(Cl)c2)C1,5.733063089,
CN1[C@H]2CC[C@@H]1C[C@H](NC(c1ccc(F)cc1)c1ccc(F)cc1)C2,5.742321425,
CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2cc([S+](C)[O-])ccc21,5.744727495,
O=C(CCc1ccc(Br)cc1)N/C=C/NCCOC(c1ccc(F)cc1)c1ccc(F)cc1,5.754487332,
Fc1cccc(Oc2ccccc2N2CCNCC2)c1,5.764471553,
c1ccc(OCc2ccccc2C2CCNCC2)cc1,5.76700389,
CCOc1ccc([C@H]2C[C@H]3CC[C@H]([C@H]2C(=O)OC)N3C)cc1,5.772113295,
Cc1ccc([C@]2(O)OCC(C)(C)N[C@H]2C)cc1,5.774690718,
CCC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,5.798511838,
